x1,y1,x2,y2
1062,540,1134,721
88,114,135,232
127,766,229,958
1633,829,1733,1045
910,331,977,479
667,958,770,1074
1659,388,1735,558
694,317,755,481
1080,818,1159,989
1623,658,1719,825
1003,772,1070,957
1173,905,1274,1074
1,520,68,706
1106,162,1158,288
739,215,788,352
571,445,649,583
987,235,1058,394
338,472,399,625
1759,221,1827,365
1798,324,1877,476
1174,283,1232,410
163,943,273,1078
575,333,633,465
1888,326,1920,438
800,47,838,171
713,55,761,179
143,59,182,153
1709,104,1774,232
374,471,457,649
