x1,y1,x2,y2
1113,813,1203,994
1326,708,1425,871
671,540,746,726
85,126,133,238
752,374,815,526
235,506,307,681
925,202,985,343
1807,600,1900,773
70,823,181,995
1144,435,1214,571
1479,381,1560,549
1495,539,1579,721
847,56,886,187
1802,180,1864,309
705,185,755,322
388,0,433,100
262,3,325,113
1092,63,1135,175
336,486,410,640
1704,191,1778,328
1623,15,1667,131
796,59,835,181
1381,0,1430,178
1170,103,1212,227
986,132,1041,272
1301,0,1338,101
914,58,952,173
1679,24,1734,148
1733,107,1794,237
1200,97,1244,223
