x1,y1,x2,y2
1133,853,1217,1067
1388,709,1461,879
676,573,746,765
1485,515,1565,690
89,127,142,244
243,478,321,655
58,818,183,984
850,59,888,190
757,398,816,553
1831,627,1919,822
1473,360,1546,511
925,198,981,330
1799,165,1863,302
1088,58,1136,171
1147,451,1212,601
245,21,298,125
1205,99,1251,237
709,198,764,337
799,62,837,186
1171,126,1219,247
989,117,1039,256
1622,12,1667,125
338,488,408,643
382,0,426,110
911,73,947,183
1698,111,1790,316
570,296,631,436
1305,0,1342,103
1594,14,1650,126
1721,93,1796,246
1676,18,1739,142
359,488,454,655
