x1,y1,x2,y2
1571,694,1665,885
182,643,277,823
1725,472,1798,642
686,398,753,570
1071,645,1150,834
1181,737,1253,914
916,276,978,421
1163,345,1224,473
1553,536,1635,699
749,276,809,420
583,383,650,521
990,187,1056,344
1040,915,1111,1079
337,479,397,627
1379,38,1421,172
1101,126,1152,239
1758,260,1829,413
140,888,249,1058
709,111,761,240
949,18,988,124
1746,169,1812,300
53,77,138,238
1845,255,1915,386
906,14,945,131
577,289,631,407
1186,30,1231,156
380,0,418,75
389,513,450,656
796,54,835,173
248,0,288,47
